[SOLUTION 0]
0 0 0 0 0
1 0 0 1 0
0 0 0 0 0
6 0 0 8 0
0 0 0 0 0
- 0 1 flip 0
- 3 1 flip 1
- 0 3 rot 2
- 3 3 rot 0
end

[SOLUTION 1]
0 0 0 0 0
0 0 0 0 0
6 3 0 8 0
0 0 0 0 0
0 6 0 0 0
- 0 2 rot 3
- 1 2 flip 0
- 3 2 rot 3
- 1 4 rot 2
end

[SOLUTION 2]
6 8 0 0 0 0
5 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
6 6 0 0 0 0
- 0 0 rot 0
- 1 0 rot 2
- 0 1 flip 0
- 0 4 rot 0
- 1 4 rot 3
end

[SOLUTION 3]
0 0 6 0 6
6 0 5 0 3
0 8 0 0 1
3 0 0 0 6
6 0 0 0 0
- 2 0 rot 3
- 4 0 rot 2
- 0 1 rot 1
- 2 1 flip 1
- 4 1 flip 1
- 1 2 rot 1
- 4 2 flip 0
- 0 3 flip 1
- 4 3 rot 1
- 0 4 rot 0
end

[SOLUTION 4]
8 0 0 3 6
0 6 0 0 0
6 3 5 1 6
0 0 0 0 0
0 0 0 6 0
- 0 0 rot 1
- 3 0 flip 1
- 4 0 rot 2
- 1 1 rot 0
- 0 2 rot 3
- 1 2 flip 1
- 2 2 flip 1
- 3 2 flip 0
- 4 2 rot 3
- 3 4 rot 2
end

[SOLUTION 5]
0 6 0 0 6
0 0 0 0 0
0 0 0 0 0
8 0 3 5 1
6 3 6 0 6
- 1 0 rot 1
- 4 0 rot 1
- 0 3 rot 1
- 2 3 flip 1
- 3 3 flip 1
- 4 3 flip 1
- 0 4 rot 3
- 1 4 flip 1
- 2 4 rot 3
- 4 4 rot 3
end

[SOLUTION 6]
6 6 0 0 0
0 0 0 0 0
3 1 3 5 8
0 0 0 0 0
6 6 0 0 0
- 0 0 rot 0
- 1 0 rot 0
- 0 2 flip 0
- 1 2 flip 0
- 2 2 flip 0
- 3 2 flip 1
- 4 2 rot 3
- 0 4 rot 0
- 1 4 rot 3
end

[SOLUTION 7]
0 3 0 0 6
0 1 0 0 6
0 0 6 6 0
0 8 3 5 6
0 0 0 0 0
- 1 0 flip 0
- 4 0 rot 1
- 1 1 flip 1
- 4 1 rot 2
- 2 2 rot 1
- 3 2 rot 1
- 1 3 rot 1
- 2 3 flip 0
- 3 3 flip 1
- 4 3 rot 3
end

[SOLUTION 8]
3 0 3 0 0
0 0 5 0 0
0 0 0 0 0
6 6 1 0 8
0 6 6 0 0
- 0 0 flip 0
- 2 0 flip 1
- 2 1 flip 0
- 0 3 rot 0
- 1 3 rot 2
- 2 3 flip 1
- 4 3 rot 3
- 1 4 rot 0
- 2 4 rot 1
end

[SOLUTION 9]
6 0 3 1 0
0 0 0 0 0
0 0 0 3 0
8 0 6 0 6
0 0 0 6 0
- 0 0 rot 1
- 2 0 flip 1
- 3 0 flip 1
- 3 2 flip 0
- 0 3 rot 0
- 2 3 rot 0
- 4 3 rot 1
- 3 4 rot 2
end

[SOLUTION 10]
0 0 0 0 8
6 1 0 0 0
0 0 6 6 0
6 3 3 5 6
0 0 0 0 0
- 4 0 rot 2
- 0 1 rot 3
- 1 1 flip 1
- 2 2 rot 1
- 3 2 rot 1
- 0 3 rot 3
- 1 3 flip 1
- 2 3 flip 1
- 3 3 flip 1
- 4 3 rot 3
end

[SOLUTION 11]
8 0 3 6 0
0 0 5 0 0
6 0 0 0 0
6 3 1 0 0
0 6 0 0 0
- 0 0 rot 1
- 2 0 flip 1
- 3 0 rot 1
- 2 1 flip 0
- 0 2 rot 0
- 0 3 rot 0
- 1 3 flip 0
- 2 3 flip 0
- 1 4 rot 2
end

[SOLUTION 12]
6 0 0 0 8
0 0 3 3 6
6 5 6 0 0
1 0 0 6 0
0 0 0 0 0
- 0 0 rot 0
- 4 0 rot 2
- 2 1 flip 0
- 3 1 flip 0
- 4 1 rot 3
- 0 2 rot 0
- 1 2 flip 1
- 2 2 rot 3
- 0 3 flip 1
- 3 3 rot 3
end

[SOLUTION 13]
end

[SOLUTION 14]
6 0 3 0 6
6 5 0 0 1
8 6 3 0 0
0 0 6 0 0
0 0 0 0 0
- 0 0 rot 3
- 2 0 flip 0
- 4 0 rot 2
- 0 1 rot 1
- 1 1 flip 1
- 4 1 flip 0
- 0 2 rot 0
- 1 2 rot 3
- 2 2 flip 0
- 2 3 rot 2
end

[SOLUTION 15]
0 0 0 8 6
0 0 0 0 5
0 0 6 0 0
0 6 0 0 3
6 6 3 0 1
- 3 0 rot 1
- 4 0 rot 2
- 4 1 flip 0
- 2 2 rot 0
- 1 3 rot 1
- 4 3 flip 0
- 0 4 rot 3
- 1 4 rot 3
- 2 4 flip 1
- 4 4 flip 0
end

[SOLUTION 16]
0 1 0 3 6
6 6 0 0 0
0 0 0 0 8
0 5 0 0 0
6 3 0 6 0
- 1 0 flip 0
- 3 0 flip 0
- 4 0 rot 2
- 0 1 rot 3
- 1 1 rot 2
- 4 2 rot 0
- 1 3 flip 0
- 0 4 rot 3
- 1 4 flip 1
- 3 4 rot 3
end

[SOLUTION 17]
1 0 0 6 6
3 0 0 0 6
0 0 0 5 0
0 0 0 3 6
8 0 0 6 0
- 0 0 flip 0
- 3 0 rot 2
- 4 0 rot 0
- 0 1 flip 0
- 4 1 rot 3
- 3 2 flip 1
- 3 3 flip 1
- 4 3 rot 1
- 0 4 rot 0
- 3 4 rot 2
end

[SOLUTION 18]
6 0 0 0 0
6 3 0 6 0
5 0 0 8 0
6 3 0 0 0
1 6 0 0 0
- 0 0 rot 0
- 0 1 rot 0
- 1 1 flip 0
- 3 1 rot 2
- 0 2 flip 0
- 3 2 rot 0
- 0 3 rot 0
- 1 3 flip 0
- 0 4 flip 1
- 1 4 rot 3
end

[SOLUTION 19]
0 6 0 0 6
1 0 0 0 3
0 0 0 0 0
5 3 6 0 0
6 6 0 0 8
- 1 0 rot 1
- 4 0 rot 2
- 0 1 flip 0
- 4 1 flip 1
- 0 3 flip 0
- 1 3 flip 1
- 2 3 rot 1
- 0 4 rot 2
- 1 4 rot 2
- 4 4 rot 0
end

[SOLUTION 20]
6 8 0 0 0
0 0 0 0 6
0 3 0 0 6
3 0 0 5 6
6 1 0 0 0
- 0 0 rot 0
- 1 0 rot 2
- 4 1 rot 0
- 1 2 flip 1
- 4 2 rot 3
- 0 3 flip 0
- 3 3 flip 1
- 4 3 rot 1
- 0 4 rot 0
- 1 4 flip 0
end

[SOLUTION 21]
6 0 0 0 0
0 0 0 0 0
0 8 0 0 6
3 0 6 0 3
6 0 1 0 6
- 0 0 rot 0
- 1 2 rot 1
- 4 2 rot 2
- 0 3 flip 0
- 2 3 rot 1
- 4 3 flip 0
- 0 4 rot 0
- 2 4 flip 0
- 4 4 rot 2
end

[SOLUTION 22]
0 0 0 0 0
8 1 0 0 0
0 6 5 0 6
6 3 0 0 3
0 0 0 0 6
- 0 1 rot 1
- 1 1 flip 1
- 1 2 rot 0
- 2 2 flip 1
- 4 2 rot 2
- 0 3 rot 3
- 1 3 flip 1
- 4 3 flip 0
- 4 4 rot 2
end

[SOLUTION 23]
0 0 0 6 0
0 0 6 0 6
0 0 0 6 6
1 5 3 0 3
8 0 0 0 0
- 3 0 rot 0
- 2 1 rot 1
- 4 1 rot 1
- 3 2 rot 0
- 4 2 rot 2
- 0 3 flip 0
- 1 3 flip 1
- 2 3 flip 0
- 4 3 flip 0
- 0 4 rot 0
end

[SOLUTION 24]
0 6 0 0 0
6 0 0 0 6
0 0 0 0 0
0 1 3 5 3
0 6 6 0 8
- 1 0 rot 0
- 0 1 rot 3
- 4 1 rot 2
- 1 3 flip 1
- 2 3 flip 0
- 3 3 flip 1
- 4 3 flip 1
- 1 4 rot 3
- 2 4 rot 3
- 4 4 rot 0
end

[SOLUTION 25]
8 6 0 6 0
1 0 0 3 6
0 5 0 0 0
0 6 0 0 3
0 0 0 0 6
- 0 0 rot 2
- 1 0 rot 1
- 3 0 rot 2
- 0 1 flip 1
- 3 1 flip 0
- 4 1 rot 1
- 1 2 flip 0
- 1 3 rot 0
- 4 3 flip 1
