[LEVEL]
#1 2;2 0;1
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 8 0
0 0 0 0 0
- 3 3 noRot 0
end

[LEVEL]
#2 1;1 0;2
0 0 0 0 0
0 0 0 0 0
0 0 0 8 0
0 0 0 0 0
0 0 0 0 0
- 3 2 noRot 3
end

[LEVEL 2]
#2 0;3 1;2
0 0 6 0 0
0 0 5 0 0
0 8 0 0 1
0 0 0 0 0
6 0 0 0 0
- 1 2 rot 0
: 2 1 noFlip flip
end

[LEVEL 3]
#3 0;3 1;2
8 0 0 0 0
0 6 0 0 0
0 0 5 1 6
0 0 0 7 0
0 0 0 0 0
- 0 0 rot 1
: 1 1 noRot 0
: 4 2 noRot 3
end

[LEVEL 1 idk]
#3 0;2 2;1 1;1
0 6 0 0 6
0 0 0 0 0
0 0 0 0 0
8 7 4 5 0
0 0 0 0 6
- 0 3 rot 0
: 2 3 noFlip -
: 4 4 noRot 3
end

[LEVEL 7]
#2 0;3 5;1 1;1
0 0 0 0 0
0 0 0 0 0
3 1 0 5 0
0 0 0 0 0
6 0 0 7 0
- 
end

[LEVEL 11]
#2 0;3 5;1 1;1
0 0 0 0 0
0 1 0 0 0
0 0 6 0 7
0 0 4 5 6
0 0 0 0 0
- 
: 1 1 noFlip flip
: 2 2 noRot 1
: 2 3 noFlip flip
end

[LEVEL 12]
#1 0;2 5;1 1;1
0 0 3 0 7
0 0 5 0 0
0 0 0 0 0
6 0 1 0 0
0 6 0 0 0
- 
end

[LEVEL 20]
#3 0;1 2;1 1;1
0 7 3 0 6
6 5 0 0 0
8 6 0 0 0
0 0 6 0 0
0 0 0 0 0
- 0 2 rot 2
end

[LEVEL 21]
#3 0;2 1;2
0 0 0 8 0
0 0 0 0 5
0 0 6 0 0
0 0 7 0 0
6 6 0 0 1
- 3 0 rot 3
: 2 2 noRot 0
: 0 4 noRot 3
: 4 4 noFlip -
: 4 1 noFlip -
end

[LEVEL 30]
#3 0;2 1;1
0 1 7 0 6
6 6 0 0 0
0 0 0 0 8
0 5 0 0 0
0 3 0 0 0
- 4 2 rot 3
end

[LEVEL 43]
#3 0;5
0 0 0 0 0
0 3 0 0 0
5 0 0 8 0
0 3 0 0 0
1 0 0 0 0
- 3 2 noRot 0
: 0 2 noFlip -
: 1 3 noFlip -
: 0 4 noFlip flip
end

[LEVEL 57]
#3 5;1 0;2
6 0 0 0 0
0 7 0 0 6
0 3 0 0 6
3 0 0 5 0
0 1 0 0 0
- 
end

[LEVEL 67]
#3 5;1 0;4
0 0 0 0 0
0 1 0 0 0
7 0 5 0 0
0 3 0 0 3
0 0 0 0 0
- 
: 1 1 noFlip flip
: 4 3 noFlip -
end

[LEVEL 73]
#2 5;1 0;1 1;2 3;1
0 0 0 6 0
0 0 6 0 6
0 0 0 6 0
1 0 0 0 0
0 0 0 0 0
- 
: 4 1 noRot 1
: 0 3 noFlip -
end

[LEVEL 92]
#3 0;3 2;1 1;1 3;1
0 0 0 0 0
0 6 8 0 0
0 0 4 7 6
0 0 0 0 0
0 0 0 0 0
- 2 1 noRot 3
: 1 1 noRot 1
: 2 2 noFlip -
end
